time,MPI-ESM1-2-HR,MPI-ESM1-2-LR,CanESM5,MIROC6,IPSL-CM6A-LR,ACCESS-CM2,NorESM2-LM,GFDL-ESM4
1997-06-25,22.742462,16.506744,21.112091,20.562012,22.848663,14.69278,15.713257,23.043121
1997-06-26,22.175018,17.843353,22.755066,21.356232,23.322662,15.50528,18.485596,24.152283
1997-06-27,25.276276,19.781036,24.386902,20.494843,22.88385,16.983795,20.715057,20.602448
1997-06-28,28.231476,20.18164,21.892487,20.937897,21.666382,20.808746,24.177032,22.168
1997-06-29,29.77945,19.446686,21.891602,22.932251,22.246735,23.032623,24.19693,22.445679
1997-06-30,28.838623,19.285187,22.305603,22.719574,23.772491,21.254547,21.00534,19.227234
1997-07-01,25.845703,19.358429,23.0737,24.120056,23.167725,22.652008,17.190308,16.536926
1997-07-02,24.439575,19.739868,21.091095,24.02716,21.28244,20.40982,18.229797,17.011902
1997-07-03,22.458313,20.374725,22.509003,23.168488,23.434814,19.507477,18.750793,17.37973
1997-07-04,20.043915,21.47641,26.773834,24.265747,24.851288,19.801422,21.415497,17.708313
1997-07-05,18.75534,20.681732,21.888336,23.812836,26.101227,19.790192,20.445587,21.228973
1997-07-06,20.324097,21.288666,21.311523,22.61493,26.65335,19.007233,18.597504,23.08081
1997-07-07,22.450653,22.658356,22.75,21.773651,25.333435,18.229889,18.346924,17.87439
1997-07-08,23.71872,21.35147,25.967285,21.586517,24.761108,20.141266,18.999512,18.05243
1997-07-09,25.855927,21.741608,24.661682,21.86026,21.201294,20.925201,19.163483,20.417175
1997-07-10,24.925568,22.04898,24.523865,22.246246,21.92453,19.35025,19.7919,20.31131
1997-07-11,22.009857,21.36737,25.578705,22.096252,23.147095,19.116852,14.865295,25.52417
1997-07-12,22.931732,20.407654,26.02008,23.426727,22.883575,20.578522,19.510315,26.213928
1997-07-13,24.606598,22.091583,25.442444,23.373444,25.901825,21.382477,21.92517,25.498291
1997-07-14,24.06137,21.987518,23.796143,20.714874,29.157135,21.609772,23.855682,22.485199
1997-07-15,22.47287,22.152649,23.322845,22.193115,29.119324,21.130768,22.524933,23.118164
1997-07-16,23.156769,22.103607,23.891083,22.771637,27.802979,19.409332,19.30832,24.273804
1997-07-17,24.26883,22.55252,23.789276,24.256104,25.005768,19.030426,18.234863,25.791412
1997-07-18,27.35794,22.566895,24.989197,24.694733,23.084076,18.575592,18.178955,23.946625
1997-07-19,25.906342,22.405426,25.483124,25.708069,22.567352,19.660553,19.456848,19.612518
1997-07-20,24.163605,23.00351,25.27356,25.035675,22.4505,21.870026,21.30252,18.176117
1997-07-21,24.421356,23.801971,25.068085,26.798645,21.728668,23.239166,22.50879,15.528809
1997-07-22,23.551361,23.723816,24.795868,24.124146,20.96637,23.809235,22.708374,17.85962
1997-07-23,24.30661,24.068024,25.42389,21.990723,22.506317,23.44278,23.577759,19.453949
1997-07-24,24.807465,24.09494,26.481354,22.03833,25.532288,20.488678,26.732635,23.207825
1997-07-25,24.100555,24.266144,26.666168,22.04892,24.792816,21.057037,28.270355,22.615448
1997-07-26,24.410217,23.647034,26.10669,20.2872,24.919159,20.708649,25.125488,21.281189
1997-07-27,22.644318,24.404022,25.314331,20.0542,24.131805,23.948395,24.059448,18.63919
1997-07-28,23.328583,25.092987,25.113586,21.995758,24.056885,23.037994,21.2677,19.776093
1997-07-29,22.515656,25.481964,25.340149,22.909546,24.867218,26.922028,21.425629,20.792084
1997-07-30,24.162994,24.2247,26.665436,21.19165,25.645294,25.62564,22.617126,21.119476
1997-07-31,25.220184,23.302765,27.088013,21.739868,25.521057,24.026764,23.967041,24.18637
1997-08-01,25.37857,23.750519,27.216644,23.095612,25.012207,24.563873,24.796051,21.905884
1997-08-02,25.693512,23.508179,29.119751,24.30243,25.424072,27.538727,24.851227,22.100433
1997-08-03,24.294159,23.988617,26.773895,23.983887,26.132843,27.767242,23.874725,23.03653
1997-08-04,22.49643,24.866821,25.275116,24.135925,27.237122,25.213776,24.56018,22.753845
1997-08-05,26.528717,25.67334,24.665497,22.656433,27.370483,24.637604,25.514923,22.230133
1997-08-06,22.352844,25.513794,25.872284,20.96521,27.537659,21.143463,26.320282,24.67868
1997-08-07,19.940704,22.123291,26.450409,21.99707,28.011292,19.450348,26.259705,25.030182
1997-08-08,19.79599,22.562164,26.145172,22.278595,26.819366,19.86441,26.932281,25.01648
1997-08-09,20.666107,22.893585,25.99292,22.342194,23.883331,19.778229,27.049683,19.744629
1997-08-10,21.662567,23.389618,27.087067,22.756561,25.10025,21.223053,26.982147,22.70996
1997-08-11,22.736328,24.83902,27.608307,21.619171,25.39804,22.32315,27.25177,21.944763
1997-08-12,25.059326,25.778595,27.753143,21.617615,23.474304,20.316559,26.557098,15.661377
1997-08-13,26.265106,25.264435,27.503174,20.388062,25.406189,20.686676,23.749695,13.732849
1997-08-14,26.993378,24.32846,28.333496,20.013763,27.043701,19.769684,24.464142,18.211395
1997-08-15,27.19925,24.941315,29.048462,21.031525,25.95874,18.398102,25.838074,20.829163
1997-08-16,25.618988,24.975677,26.579071,19.706635,25.020111,18.555328,26.430603,23.79654
1997-08-17,25.073395,25.496216,28.565826,19.401672,19.948975,18.660797,27.28003,17.324524
1997-08-18,25.66391,25.982697,26.69394,20.772339,20.531921,19.584625,27.821045,16.142944
1997-08-19,26.299774,25.504486,26.612366,17.39862,20.738281,22.069244,26.602936,16.589966
1997-08-20,27.331146,26.357574,27.422363,20.903381,24.747131,25.20987,27.191895,19.503204
1997-08-21,27.606018,24.734161,27.045776,25.031128,24.550781,26.193268,24.509552,18.942596
1997-08-22,27.66446,22.395294,25.924469,21.934265,23.928284,26.542633,18.26715,22.824982
1997-08-23,27.067902,20.77536,25.22522,19.98761,23.691376,25.497467,18.747314,16.431732
1997-08-24,24.00534,21.986969,25.998016,20.251465,23.799225,20.698395,19.838318,15.905121
1997-08-25,24.237122,23.151764,25.802246,21.12619,22.319794,19.234283,21.359802,15.54129
